Battery_Power_Rating,OS,Product_Dimensions,RAM,camera,price,product_name,values
,Android,15.8 x 0.8 x 7.5 cm,4 GB,,,"Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage)","Android,4 GB,191 g,15.8 x 0.8 x 7.5 cm,1 Lithium ion batteries required. (included),Redmi Note 8,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensor,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,191 Grams,Moonlight White,4000,32 Hours,540 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
,Android,15.8 x 0.8 x 7.5 cm,4 GB,,"₹ 11,999.00","Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage)","Android,4 GB,191 g,15.8 x 0.8 x 7.5 cm,1 Lithium ion batteries required. (included),Redmi Note 8,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensor,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,191 Grams,Space Black,4000,32 Hours,540 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
,Android,15.9 x 0.9 x 7.5 cm,6 GB,,"₹ 17,499.00","Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Android,6 GB,191 g,15.9 x 0.9 x 7.5 cm,SM-M315FZBGINS,Bluetooth;WiFi Hotspot,2G GSM,3G WCDMA,4G LTE FDD,4G LTE TDD,Dual SIM;GPS;Music Player;Video Player;FM Radio;Accelerometer;Fingerprint Sensor;Gyro Sensor;Geomagnetic Sensor;Proximity Sensor;E-mail,Super AMOLED capacitive touchscreen, 16M colors,1080 x 2400 pixels, 20:9 ratio (~411 ppi density),8MP,Touchscreen Phone,191 Grams,Blue,6000,Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual"
,Android,16.2 x 0.9 x 7.6 cm,6 GB,,"₹ 15,999.00","Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),Redmi Note 8 Pro,Bluetooth, WiFi Hotspot,GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac, Wi-Fi, WiFi,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor, eCompass,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Electric Blue,4500,Handset, Power Adapter, USB Cable, Sim Eject Tool, Warranty Card, User Guide and Clear Soft Case"
,Android,15.9 x 0.9 x 7.5 cm,6 GB,,"₹ 16,499.00","Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB Storage)","Android,6 GB,191 g,15.9 x 0.9 x 7.5 cm,SM-M315FZBDINS,Bluetooth;WiFi Hotspot,2G GSM,3G WCDMA,4G LTE FDD,4G LTE TDD,Dual SIM;GPS;Music Player;Video Player;FM Radio;Accelerometer;Fingerprint Sensor;Gyro Sensor;Geomagnetic Sensor;Proximity Sensor;E-mail,32MP,Touchscreen Phone,191 Grams,Blue,6000,Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual"
,Android,16.2 x 0.9 x 7.6 cm,6 GB,,"₹ 16,999.00","Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),Redmi Note 8 Pro,Bluetooth, WiFi Hotspot,GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac, Wi-Fi, WiFi,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor, eCompass,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Electric Blue,4500,Handset, Power Adapter, USB Cable, Sim Eject Tool, Warranty Card, User Guide and Clear Soft Case"
,Android,16.2 x 0.9 x 7.6 cm,6 GB,,"₹ 16,999.00","Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),Redmi Note 8 Pro,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensoreCompass;,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Shadow Black,4500,41 Hours,666 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
,Android,16.1 x 0.8 x 7.4 cm,8 GB,,"₹ 37,999.00","OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)","Android,8 GB,191 g,16.1 x 0.8 x 7.4 cm,1 Lithium ion batteries required. (included),HD1901,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), CDMA, (BC0/BC1), 4G, FDD-LTE, (B1/2/3/4/5/7/8/12/13/17/18/19/20/26/28/29), TDD-LTE, (B34/38/39/40/41), TDS, (B34/B39), UMTS, (B1/2/4/5/8/9/19),Dual SIM, GPS, Music Player, Video Player, In-display Fingerprint sensor, Accelerometer, Electronic Compass, Gyroscope, Ambient Light sensor, Proximity sensor, sensor Core,Corning Gorilla Glass,DCI-P3 100%,HDR10+,90Hz,1080 x 2400 pixels, 20:9 ratio (~402 ppi density),2400 x 1080,12MP,Touchscreen Phone,191 Grams,Glacier Blue,3800,Handset, Warp Charge 30 Power Adapter, Warp Type-C Cable (Support USB 2.0), Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, Logo Sticker, Case, Screen Protector (pre-applied), SIM Tray Ejector"
,Android,16.5 x 0.8 x 7.7 cm,2 GB,,,"OPPO A1K (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Android,2 GB,163 g,16.5 x 0.8 x 7.7 cm,1 Lithium Polymer batteries required. (included),CPH1923,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, TD-LTE, 4G LTE, FDD,Dual SIM, GPS, Music Player, Video Player, Face Unlock,Magnetic induction, Light sensor, Proximity sensor, G-sensor, Acceleration sensor, Other sensors,Touchscreen,5MP,Touchscreen Phone,163 Grams,Black,4000,Handset, USB Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
,Android 4.4,14.5 x 7 x 0.8 cm,2 GB,,"₹ 5,399.00","Xifo Nibiru Model Venus J1 4G LTE with 2 GB RAM Model with 6.0-inch 1080p Display, (Reliance Jio 4G Sim Support) 16 GB Internal Memory and 13 Mpix /5 Mpix Camera HD Smartphone in White Colour","Android 4.4,2 GB,141 g,14.5 x 7 x 0.8 cm,1 Lithium ion batteries required. (included),Nibiru-J1-white,4G, Volte, LTE, GSM, 3G, WiFi,5.5 inch Full HD IPS Display, 2.5D curved glass, 1920x1080 Pixels, 2 GB RAM, 16GB internal storage expandable with Dedicated sim Slot, 1.3 GHz Quad Core, Mediatek processor with Android, It Comes With Single rear camera of 13 Mpix, Other camera is Decorative not the real Camera only to give Smartphone a rich and elegant Look. It also has a Single Front Camera of 5 Mpix., 3200 mAh Removable Li-ion Battery,Touch screen Phone,141 Grams,White,1xPc of Phone, 1xCharger, 1xUSB Cable, 1 x battery, 1 x Back cover"
