Battery_Power_Rating,OS,Product_Dimensions,RAM,camera,price,product_name,values
4500,Android,16.2 x 0.9 x 7.6 cm,6 GB,8MP,"₹ 16,999.00","Redmi Note 8 Pro (Halo White, 6GB RAM, 128GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),Redmi Note 8 Pro,Bluetooth;WiFi Hotspot,WiFi, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac Wi-Fi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor, eCompass,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Halo White,4500,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
4500,Android,16.2 x 0.9 x 7.6 cm,6 GB,8MP,"₹ 16,999.00","Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),Redmi Note 8 Pro,Bluetooth, WiFi Hotspot,GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac, Wi-Fi, WiFi,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor, eCompass,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Electric Blue,4500,Handset, Power Adapter, USB Cable, Sim Eject Tool, Warranty Card, User Guide and Clear Soft Case"
Glacier Blue,Android,16.1 x 0.8 x 7.4 cm,8 GB,2400 x 1080,"₹ 37,999.00","OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)","Android,8 GB,191 g,16.1 x 0.8 x 7.4 cm,1 Lithium ion batteries required. (included),HD1901,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), CDMA, (BC0/BC1), 4G, FDD-LTE, (B1/2/3/4/5/7/8/12/13/17/18/19/20/26/28/29), TDD-LTE, (B34/38/39/40/41), TDS, (B34/B39), UMTS, (B1/2/4/5/8/9/19),Dual SIM, GPS, Music Player, Video Player, In-display Fingerprint sensor, Accelerometer, Electronic Compass, Gyroscope, Ambient Light sensor, Proximity sensor, sensor Core,Corning Gorilla Glass,DCI-P3 100%,HDR10+,90Hz,1080 x 2400 pixels, 20:9 ratio (~402 ppi density),2400 x 1080,12MP,Touchscreen Phone,191 Grams,Glacier Blue,3800,Handset, Warp Charge 30 Power Adapter, Warp Type-C Cable (Support USB 2.0), Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, Logo Sticker, Case, Screen Protector (pre-applied), SIM Tray Ejector"
4500,Android,16.2 x 0.9 x 7.6 cm,6 GB,8MP,"₹ 15,999.00","Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),Redmi Note 8 Pro,Bluetooth, WiFi Hotspot,GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac, Wi-Fi, WiFi,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor, eCompass,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Electric Blue,4500,Handset, Power Adapter, USB Cable, Sim Eject Tool, Warranty Card, User Guide and Clear Soft Case"
"Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual",Android,15.9 x 0.9 x 7.5 cm,6 GB,Touchscreen Phone,"₹ 17,499.00","Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Android,6 GB,191 g,15.9 x 0.9 x 7.5 cm,SM-M315FZBGINS,Bluetooth;WiFi Hotspot,2G GSM,3G WCDMA,4G LTE FDD,4G LTE TDD,Dual SIM;GPS;Music Player;Video Player;FM Radio;Accelerometer;Fingerprint Sensor;Gyro Sensor;Geomagnetic Sensor;Proximity Sensor;E-mail,Super AMOLED capacitive touchscreen, 16M colors,1080 x 2400 pixels, 20:9 ratio (~411 ppi density),8MP,Touchscreen Phone,191 Grams,Blue,6000,Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual"
4000,Android,15.8 x 0.8 x 7.5 cm,4 GB,8MP,"₹ 11,999.00","Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)","Android,4 GB,191 g,15.8 x 0.8 x 7.5 cm,1 Lithium ion batteries required. (included),Redmi Note 8,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensor,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,191 Grams,Neptune Blue,4000,32 Hours,540 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
4500,Android,16.2 x 0.9 x 7.6 cm,6 GB,8MP,"₹ 16,999.00","Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),Redmi Note 8 Pro,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensoreCompass;,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Shadow Black,4500,41 Hours,666 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
Blue,Android,15.4 x 7.4 x 0.9 cm,2 GB,"Front, Rear","₹ 5,099.00","IKall K210 Smartphone (5.5 Inch, 2GB, 16GB) (Blue)","Android,2 GB,249 g,15.4 x 7.4 x 0.9 cm,1 Lithium ion batteries required. (included),K210,Cellular,WiFi,Bluetooth Tethering, Dual SIM, USB, Primary Camera, Radio, GPS, Flashlight, Wifi,LCD,Front, Rear,3.5 mm,Smartphone,249 Grams,Blue,2800 milliamp_hours,Mobile, Battery, Traveling Adapter, USB Cable, User Manual"
4000,Android,16.5 x 0.8 x 7.7 cm,2 GB,5MP,"₹ 7,990.00","OPPO A1K (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Android,2 GB,163 g,16.5 x 0.8 x 7.7 cm,1 Lithium Polymer batteries required. (included),CPH1923,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, TD-LTE, 4G LTE, FDD,Dual SIM, GPS, Music Player, Video Player, Face Unlock,Magnetic induction, Light sensor, Proximity sensor, G-sensor, Acceleration sensor, Other sensors,Touchscreen,5MP,Touchscreen Phone,163 Grams,Black,4000,Handset, USB Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
154 Grams,Android,15 x 0.9 x 7.2 cm,2 GB,Touchscreen,"₹ 5,150.00","itel A46 (Dark Water, 2GB RAM, 16GB Storage)","Android,2 GB,154 g,15 x 0.9 x 7.2 cm,1 Lithium Polymer batteries required. (included),A46 2GB,Bluetooth, WiFi Hotspot,GSM, (1900/1800/850/900 MHz), HSPA+, 3G, (2100/1900/850/900 MHz), 4G, LTE, (2100/1800/2600/900/800 MHz), GPRS, EDGE, WiFi 802.11 b/g/n 2.4 GHz,Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor,LCD,Touchscreen,1440 x 720,5MP,Touchscreen Phone,154 Grams,Dark Water,2400,Handset, Battery, Charger, Handsfree, User Manual and Warranty Card"
