price,product_name,rating
"15,999","Samsung Galaxy M40 (Midnight Blue, 6GB RAM, 128GB Storage)",3.8 out of 5 stars
"4,699","IKall K210 Smartphone (5.5 Inch, 2GB, 16GB) (Blue)",
"10,990","Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)",4.3 out of 5 stars
"15,999","Samsung Galaxy M40 (Midnight Blue, 6GB RAM, 128GB Storage)",3.8 out of 5 stars
,"OPPO F11 (Fluorite Purple, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.3 out of 5 stars
,"Xiaomi Mi A3 (Not Just Blue, 4GB RAM, 64GB Storage)",4.0 out of 5 stars
"16,999","Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage with Helio G90T Processor)",4.3 out of 5 stars
"14,999","Samsung Galaxy M30s (Blue, 4GB RAM, 64GB Storage)",4.3 out of 5 stars
"5,489","Xifo Nibiru Model Venus J1 4G LTE with 2 GB RAM Model with 6.0-inch 1080p Display, (Reliance Jio 4G Sim Support) 16 GB Internal Memory and 13 Mpix /5 Mpix Camera HD Smartphone in White Colour",
,"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor)",4.3 out of 5 stars
"24,999","Redmi K20 Pro (Pearl White, 6GB RAM, 128GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI",4.3 out of 5 stars
"8,990","OPPO A11K (Flowing Silver, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",
"4,699","IKall K210 Smartphone (5.5 Inch, 2GB, 16GB) (Blue)",
"15,999","Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor)",4.3 out of 5 stars
"13,990","OPPO A5 2020 (Mirror Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"7,990","Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
