Product_Dimensions,RAM,camera,price,product_name,finalbattery,Storage
15.8,4,8, 11999.00,Redmi Note,4000,64
15.9,6,8, 17499.00,Samsung Ga,6000,128
16.2,6,8, 15999.00,Redmi Note,4500,64
15.9,6,32, 16499.00,Samsung Ga,6000,64
16.2,6,8, 16999.00,Redmi Note,4500,128
16.2,6,8, 16999.00,Redmi Note,4500,128
16.1,8,12, 37999.00,OnePlus 7T,3800,256
15,2,5, 5150.00,itel A46 (,2400,16
15.9,4,16, 12990.00,Vivo Y15 (,5000,64
16.2,6,8, 15999.00,Redmi Note,4500,64
15,2,5, 5150.00,itel A46 (,2400,16
15.8,6,8, 14999.00,Redmi Note,4000,128
16.2,4,8, 14990.00,Vivo Y19 (,5000,128
16.2,6,8, 16999.00,Redmi Note,4500,128
16.2,8,8, 18999.00,Redmi Note,4500,128
16.4,4,2, 12490.00,OPPO A31 (,4230,64
15.6,8,20, 18999.00,Poco F1 by,4000,256
15.9,4,8, 13999.00,Samsung Ga,6000,64
16.2,4,8, 12990.00,Vivo U20 (,5000,64
16,8,16, 18990.00,OPPO F15 (,4000,128
15.9,6,8, 15999.00,Samsung Ga,6000,128
16.3,8,8, 42999.00,OnePlus 7 ,4000,256
16.4,4,8, 13990.00,OPPO A5 20,5000,64
16.2,4,8, 14990.00,Vivo Y19 (,5000,128
16.6,4,8, 13999.00,Redmi Note,5020,64
15.9,6,8, 17499.00,Samsung Ga,6000,128
15.9,8,8, 24990.00,Vivo V17 (,4500,128
16.4,6,2, 14990.00,Oppo A31 (,4230,128
15.3,6,8, 16990.00,Xiaomi Mi ,4030,128
16.2,8,16, 21990.00,OPPO Reno2,4000,128
16.4,4,2, 12490.00,OPPO A31 (,4230,64
16.6,4,8, 13999.00,Redmi Note,5020,64
16.6,6,8, 16999.00,Redmi Note,5020,128
16.2,8,16, 17990.00,Vivo Y50 (,5000,128
16,6,16, 41999.00,OnePlus 8 ,4300,128
16.6,6,8, 16999.00,Redmi Note,5020,128
16.2,4,16, 14990.00,OPPO A52 (,5000,128
15.9,6,8, 16499.00,Samsung Ga,6000,64
16.8,8,5, 34999.00,OnePlus 7 ,3700,256
15.6,2,5, 8990.00,OPPO A11K ,4230,32
15.5,3,5, 8990.00,Vivo Y91i ,4030,32
15.6,2,8, 7499.00,Redmi 8A D,5000,32
16.4,6,2, 14990.00,Oppo A31 (,4230,128
16.2,8,16, 17990.00,Vivo Y50 (,5000,128
16,8,16, 44999.00,OnePlus 8 ,4300,128
16.5,12,32, 64990.00,OPPO Find ,4200,256
16.5,2,8, 7999.00,TECNO Spar,5000,32
16,4,8, 17299.00,Nokia 6.2 ,3500,64
16.3,6,8, 19990.00,HUAWEI Y9s,4000,128
16.5,2,8, 7999.00,TECNO Spar,5000,32
16.2,8,8, 18999.00,Redmi Note,4500,128
15.4,6,32, 22999.00,Honor 20 (,3750,128
16,8,8, 27990.00,Vivo V19 (,4500,128
16.6,6,8, 16999.00,Redmi Note,5020,64
16.4,6,13, 18499.00,Samsung Ga,5000,64
16,4,2, 17199.00,Honor 8X (,3750,64
16,6,8, 16990.00,Vivo S1 (D,4500,64
15.9,6,12, 25250.00,Samsung Ga,4000,128
16.3,4,8, 15479.00,Huawei Y9 ,4000,128
16.4,6,16, 17749.00,Honor 9X (,4000,128
16.4,6,13, 18499.00,Samsung Ga,5000,64
15.6,2,8, 7499.00,Redmi 8A D,5000,32
15.9,6,20, 21999.00,Samsung Ga,5000,128
14.5,2,5, 7899.00,Gome C7 (B,3000,16
16.4,6,13, 18499.00,Samsung Ga,5000,64
15.7,8,5, 17990.00,OPPO R17 (,3500,28
16,6,8, 19900.00,Vivo S1 (D,4500,128
15.8,6,2, 22599.00,Honor Play,3750,64
16.3,6,8, 19990.00,HUAWEI Y9s,4000,128
16.5,8,8, 34990.00,Samsung Ga,3700,128
15.5,4,2, 15999.00,Vivo Y95 (,4030,64
16.3,8,20, 49999.00,Mi 10 (Cor,4780,128
16.5,12,32, 64990.00,OPPO Find ,4200,256
15.9,8,32, 27999.00,Samsung Ga,4000,128
16.3,8,20, 54999.00,Mi 10 (Twi,4780,256
14.3,3,5, 12990.00,LG Q6 (Bla,3000,32
16.4,8,12, 32999.00,Samsung Ga,4500,128
15.4,6,32, 22999.00,Honor 20 (,3750,128
15.7,8,8, 24490.00,Vivo V15 P,1818,128
16.2,6,16, 16990.00,OPPO A52 (,5000,128
16.3,8,20, 49999.00,Mi 10 (Twi,4780,128
15.9,8,32, 27999.00,Samsung Ga,4000,128
15.6,4,13, 15999.00,Honor 9i (,3340,64
15.6,6,12, 15615.00,10.or Craf,5000,64
15,8,12, 49999.00,Samsung Ga,3400,128
15.8,4,20, 14999.00,Redmi Mi N,4000,64
16.3,6,32, 15888.00,TECNO Camo,4000,128
14.9,4,5, 15789.00,Nokia 7.1_,3060,64
15.9,8,13, 31990.00,OPPO Reno3,4025,128
16.3,8,20, 54999.00,Mi 10 (Cor,4780,256
15.6,6,5, 18999.00,Poco F1 (S,4000,128
16.2,8,64, 77999.00,Samsung Ga,4500,128
15.8,6,8, 24970.00,Samsung Ga,4000,128
16.6,6,8, 18499.00,Redmi Note,5020,128
16.2,8,16, 21990.00,OPPO Reno2,4000,128
16.6,6,8, 16999.00,Redmi Note,5020,64
15.6,2,5, 8990.00,OPPO A11K ,4230,32
