,Product_Dimensions,RAM,camera,finalbattery,Storage,price
1,15.8,4 ,8,4000, 64, 11999.00
2,15.9,6 ,8,6000,128, 17499.00
3,16.2,6 ,8,4500, 64, 15999.00
4,15.9,6 ,32,6000, 64, 16499.00
5,16.2,6 ,8,4500,128, 16999.00
6,16.2,6 ,8,4500,128, 16999.00
7,16.1,8 ,12,3800,256, 37999.00
9,14.5,2 ,0,3200,[], 5399.00
11,15 ,2 ,5,2400, 16, 5150.00
12,15.9,4 ,16,5000, 64, 12990.00
13,16.2,6 ,8,4500, 64, 15999.00
14,40,13,0,0,[], 649.00
15,15.7,6 ,0,4000,128, 24999.00
16,15 ,2 ,5,2400, 16, 5150.00
17,15.8,6 ,8,4000,128, 14999.00
18,16.2,4 ,8,5000,128, 14990.00
19,16.2,6 ,8,4500,128, 16999.00
20,16.2,8 ,8,4500,128, 18999.00
21,16.4,4 ,2,4230, 64, 12490.00
22,15.6,8 ,20,4000,256, 18999.00
23,15.9,4 ,8,6000, 64, 13999.00
24,16.1,3 ,0,3500,[], 13499.00
25,16.2,4 ,8,5000, 64, 12990.00
27,16 ,8 ,16,4000,128, 18990.00
28,15.7,6 ,0,4000,128, 24999.00
29,15.9,6 ,8,6000,128, 15999.00
30,16.3,8 ,8,4000,256, 42999.00
31,16.4,4 ,8,5000, 64, 13990.00
32,16.2,4 ,8,5000,128, 14990.00
33,16.6,4 ,8,5020, 64, 13999.00
34,15.9,6 ,8,6000,128, 17499.00
35,15.9,8 ,8,4500,128, 24990.00
37,16.4,6 ,2,4230,128, 14990.00
38,16.2,6 ,8,5000,[], 13990.00
39,15.7,6 ,0,4000,128, 24999.00
40,15.3,6 ,8,4030,128, 16990.00
41,15.7,6 ,0,4000,128, 24999.00
42,16.2,8 ,16,4000,128, 21990.00
43,15.5,3 ,0,4000, 32, 9999.00
44,16.4,4 ,2,4230, 64, 12490.00
46,16.6,4 ,8,5020, 64, 13999.00
47,16.6,6 ,8,5020,128, 16999.00
49,15.9,4 ,0,3000,[], 6999.00
50,16.2,8 ,16,5000,128, 17990.00
51,16 ,6 ,16,4300,128, 41999.00
52,1 Li,40,0,2016,[], 299.00
53,15 ,2 ,0,0,[], 5099.00
54,LED ,34,0,0,[], 589.00
55,16.6,6 ,8,0,128, 16999.00
56,Blue,14,0,0,[], 429.00
58,16.6,6 ,8,5020,128, 16999.00
60,15 ,2 ,0,0,[], 5099.00
61,15.9,8 ,0,0,128, 20990.00
62,15.9,8 ,0,4500,128, 20990.00
63,16.2,4 ,16,5000,128, 14990.00
64,16.7,3 ,0,3000, 32, 9280.00
65,16 ,8 ,0,4000,128, 18990.00
66,15.9,6 ,8,6000, 64, 16499.00
67,14.8,2 ,0,2200,[], 4099.00
68,16.8,8 ,5,3700,256, 34999.00
69,15.6,2 ,5,4230, 32, 8990.00
70,15 ,2 ,0,2500,[], 4699.00
71,15.5,3 ,5,4030, 32, 8990.00
72,Bold,30,0,9790,[], 6999.00
73,15.9,8 ,0,4500,128, 20990.00
74,15.6,2 ,8,5000, 32, 7499.00
75,16.4,6 ,2,4230,128, 14990.00
76,16.2,8 ,16,5000,128, 17990.00
77,1 Li,15,0,9250,[], 13990.00
78,16 ,8 ,16,4300,128, 44999.00
79,16.5,12,32,4200,256, 64990.00
80,16.5,2 ,8,5000, 32, 7999.00
81,15.7,6 ,0,4000,128, 24999.00
82,15.7,6 ,0,0,128, 24999.00
86,15.7,6 ,0,4000,128, 24999.00
87,16 ,4 ,8,3500, 64, 17299.00
88,16.3,6 ,8,4000,128, 19990.00
